aug,img_size,model,class,precision,recall,f1,support
aug_light,112,inception_v3,impetigo,0.9090909090909091,1.0,0.9523809523809523,
aug_light,128,inception_v3,impetigo,1.0,1.0,1.0,
aug_light,160,inception_v3,impetigo,1.0,1.0,1.0,
aug_light,192,inception_v3,impetigo,1.0,1.0,1.0,
aug_light,224,inception_v3,impetigo,1.0,1.0,1.0,
aug_light,256,inception_v3,impetigo,1.0,1.0,1.0,
aug_light,299,inception_v3,impetigo,0.9523809523809523,1.0,0.975609756097561,
aug_light,80,inception_v3,prickly_heat,1.0,0.9,0.9473684210526315,
aug_light,96,inception_v3,prickly_heat,0.9473684210526315,0.9,0.9230769230769231,
aug_light,112,inception_v3,prickly_heat,0.9523809523809523,1.0,0.975609756097561,
aug_light,128,inception_v3,prickly_heat,1.0,1.0,1.0,
aug_light,160,inception_v3,prickly_heat,1.0,1.0,1.0,
aug_light,192,inception_v3,prickly_heat,1.0,1.0,1.0,
aug_light,224,inception_v3,prickly_heat,1.0,1.0,1.0,
aug_light,256,inception_v3,prickly_heat,1.0,1.0,1.0,
aug_light,299,inception_v3,prickly_heat,0.9523809523809523,1.0,0.975609756097561,
aug_light,80,inception_v3,sarcoptes_scabiei,0.47058823529411764,0.4,0.43243243243243246,
aug_light,96,inception_v3,sarcoptes_scabiei,0.8888888888888888,0.4,0.5517241379310345,
aug_light,112,inception_v3,sarcoptes_scabiei,0.8,0.4,0.5333333333333333,
aug_light,128,inception_v3,sarcoptes_scabiei,0.6363636363636364,0.35,0.45161290322580644,
aug_light,160,inception_v3,sarcoptes_scabiei,0.875,0.7,0.7777777777777778,
aug_light,192,inception_v3,sarcoptes_scabiei,0.9333333333333333,0.7,0.8,
aug_light,224,inception_v3,sarcoptes_scabiei,0.9473684210526315,0.9,0.9230769230769231,
aug_light,256,inception_v3,sarcoptes_scabiei,0.8181818181818182,0.9,0.8571428571428571,
aug_light,299,inception_v3,sarcoptes_scabiei,1.0,0.8,0.8888888888888888,
aug_light,80,inception_v3,tinea_corporis,0.5,0.6,0.5454545454545454,
aug_light,96,inception_v3,tinea_corporis,0.5,0.7,0.5833333333333334,
aug_light,112,inception_v3,tinea_corporis,0.3939393939393939,0.65,0.49056603773584906,
aug_light,128,inception_v3,tinea_corporis,0.34210526315789475,0.65,0.4482758620689655,
aug_light,160,inception_v3,tinea_corporis,0.6363636363636364,0.7,0.6666666666666666,
aug_light,192,inception_v3,tinea_corporis,0.5,0.6,0.5454545454545454,
aug_light,224,inception_v3,tinea_corporis,0.8666666666666667,0.65,0.7428571428571429,
aug_light,256,inception_v3,tinea_corporis,0.6111111111111112,0.55,0.5789473684210527,
aug_light,299,inception_v3,tinea_corporis,0.7272727272727273,0.8,0.7619047619047619,
aug_light,80,inception_v3,warts,0.9,0.45,0.6,
aug_light,96,inception_v3,warts,0.8461538461538461,0.55,0.6666666666666666,
aug_light,112,inception_v3,warts,0.7692307692307693,0.5,0.6060606060606061,
aug_light,128,inception_v3,warts,0.9090909090909091,0.5,0.6451612903225806,
aug_light,160,inception_v3,warts,0.9375,0.75,0.8333333333333334,
aug_light,192,inception_v3,warts,1.0,0.6,0.75,
aug_light,224,inception_v3,warts,1.0,0.9,0.9473684210526315,
aug_light,256,inception_v3,warts,1.0,0.7,0.8235294117647058,
aug_light,299,inception_v3,warts,1.0,0.75,0.8571428571428571,
aug_light,32,mobilenet_v2,atopic_dermatitis,0.20430107526881722,0.95,0.336283185840708,
aug_light,40,mobilenet_v2,atopic_dermatitis,0.5,0.7,0.5833333333333334,
aug_light,48,mobilenet_v2,atopic_dermatitis,0.5,0.75,0.6,
aug_light,56,mobilenet_v2,atopic_dermatitis,0.6785714285714286,0.95,0.7916666666666666,
aug_light,64,mobilenet_v2,atopic_dermatitis,0.68,0.85,0.7555555555555555,
aug_light,80,mobilenet_v2,atopic_dermatitis,0.64,0.8,0.7111111111111111,
aug_light,96,mobilenet_v2,atopic_dermatitis,0.6428571428571429,0.9,0.75,
aug_light,112,mobilenet_v2,atopic_dermatitis,0.75,0.75,0.75,
aug_light,128,mobilenet_v2,atopic_dermatitis,0.6923076923076923,0.9,0.782608695652174,
aug_light,160,mobilenet_v2,atopic_dermatitis,0.6129032258064516,0.95,0.7450980392156863,
aug_light,192,mobilenet_v2,atopic_dermatitis,0.625,1.0,0.7692307692307693,
aug_light,224,mobilenet_v2,atopic_dermatitis,0.5769230769230769,0.75,0.6521739130434783,
aug_light,256,mobilenet_v2,atopic_dermatitis,0.625,1.0,0.7692307692307693,
aug_light,299,mobilenet_v2,atopic_dermatitis,0.6923076923076923,0.9,0.782608695652174,
aug_light,32,mobilenet_v2,impetigo,0.2,0.05,0.08,
aug_light,40,mobilenet_v2,impetigo,0.8636363636363636,0.95,0.9047619047619048,
aug_light,48,mobilenet_v2,impetigo,0.9,0.9,0.9,
aug_light,56,mobilenet_v2,impetigo,0.7916666666666666,0.95,0.8636363636363636,
