InputSize,Model,Aug,Class,precision,recall,f1,support
112,inception_v3,noaug,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
128,inception_v3,aug_light,impetigo,1.0,1.0,1.0,20
128,inception_v3,noaug,impetigo,0.9523809523809523,1.0,0.975609756097561,20
160,inception_v3,aug_light,impetigo,1.0,1.0,1.0,20
160,inception_v3,noaug,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
192,inception_v3,aug_light,impetigo,1.0,1.0,1.0,20
192,inception_v3,noaug,impetigo,1.0,1.0,1.0,20
224,inception_v3,aug_light,impetigo,1.0,1.0,1.0,20
224,inception_v3,noaug,impetigo,0.9523809523809523,1.0,0.975609756097561,20
256,inception_v3,aug_light,impetigo,1.0,1.0,1.0,20
256,inception_v3,noaug,impetigo,1.0,1.0,1.0,20
299,inception_v3,aug_light,impetigo,0.9523809523809523,1.0,0.975609756097561,20
299,inception_v3,noaug,impetigo,0.9523809523809523,1.0,0.975609756097561,20
32,mobilenet_v2,aug_light,impetigo,0.2,0.05,0.08,20
32,mobilenet_v2,noaug,impetigo,0.8695652173913043,1.0,0.9302325581395349,20
40,mobilenet_v2,aug_light,impetigo,0.8636363636363636,0.95,0.9047619047619048,20
40,mobilenet_v2,noaug,impetigo,0.8695652173913043,1.0,0.9302325581395349,20
48,mobilenet_v2,aug_light,impetigo,0.9,0.9,0.9,20
48,mobilenet_v2,noaug,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
56,mobilenet_v2,aug_light,impetigo,0.7916666666666666,0.95,0.8636363636363636,20
56,mobilenet_v2,noaug,impetigo,0.7692307692307693,1.0,0.8695652173913043,20
64,mobilenet_v2,aug_light,impetigo,0.8695652173913043,1.0,0.9302325581395349,20
64,mobilenet_v2,noaug,impetigo,0.8695652173913043,1.0,0.9302325581395349,20
80,mobilenet_v2,aug_light,impetigo,1.0,1.0,1.0,20
80,mobilenet_v2,noaug,impetigo,0.9523809523809523,1.0,0.975609756097561,20
96,mobilenet_v2,aug_light,impetigo,1.0,1.0,1.0,20
96,mobilenet_v2,noaug,impetigo,1.0,1.0,1.0,20
112,mobilenet_v2,aug_light,impetigo,0.8695652173913043,1.0,0.9302325581395349,20
112,mobilenet_v2,noaug,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
128,mobilenet_v2,aug_light,impetigo,1.0,0.9,0.9473684210526315,20
128,mobilenet_v2,noaug,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
160,mobilenet_v2,aug_light,impetigo,1.0,1.0,1.0,20
160,mobilenet_v2,noaug,impetigo,0.9523809523809523,1.0,0.975609756097561,20
192,mobilenet_v2,aug_light,impetigo,1.0,1.0,1.0,20
192,mobilenet_v2,noaug,impetigo,1.0,1.0,1.0,20
224,mobilenet_v2,aug_light,impetigo,1.0,1.0,1.0,20
224,mobilenet_v2,noaug,impetigo,0.8695652173913043,1.0,0.9302325581395349,20
256,mobilenet_v2,aug_light,impetigo,1.0,1.0,1.0,20
256,mobilenet_v2,noaug,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
299,mobilenet_v2,aug_light,impetigo,0.9523809523809523,1.0,0.975609756097561,20
299,mobilenet_v2,noaug,impetigo,1.0,1.0,1.0,20
32,resnet50,aug_light,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
32,resnet50,noaug,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
40,resnet50,aug_light,impetigo,0.8695652173913043,1.0,0.9302325581395349,20
40,resnet50,noaug,impetigo,0.9523809523809523,1.0,0.975609756097561,20
48,resnet50,aug_light,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
48,resnet50,noaug,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
56,resnet50,aug_light,impetigo,1.0,1.0,1.0,20
56,resnet50,noaug,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
64,resnet50,aug_light,impetigo,1.0,1.0,1.0,20
64,resnet50,noaug,impetigo,0.8695652173913043,1.0,0.9302325581395349,20
80,resnet50,aug_light,impetigo,1.0,1.0,1.0,20
80,resnet50,noaug,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
96,resnet50,aug_light,impetigo,1.0,1.0,1.0,20
96,resnet50,noaug,impetigo,0.8333333333333334,1.0,0.9090909090909091,20
112,resnet50,aug_light,impetigo,0.9523809523809523,1.0,0.975609756097561,20
112,resnet50,noaug,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
128,resnet50,aug_light,impetigo,1.0,1.0,1.0,20
128,resnet50,noaug,impetigo,1.0,1.0,1.0,20
160,resnet50,aug_light,impetigo,1.0,1.0,1.0,20
160,resnet50,noaug,impetigo,1.0,1.0,1.0,20
192,resnet50,aug_light,impetigo,1.0,1.0,1.0,20
192,resnet50,noaug,impetigo,0.9523809523809523,1.0,0.975609756097561,20
224,resnet50,aug_light,impetigo,1.0,1.0,1.0,20
224,resnet50,noaug,impetigo,1.0,1.0,1.0,20
256,resnet50,aug_light,impetigo,1.0,0.95,0.9743589743589743,20
256,resnet50,noaug,impetigo,1.0,1.0,1.0,20
299,resnet50,aug_light,impetigo,1.0,1.0,1.0,20
299,resnet50,noaug,impetigo,1.0,1.0,1.0,20
32,densenet121,aug_light,prickly_heat,0.8695652173913043,1.0,0.9302325581395349,20
32,densenet121,noaug,prickly_heat,0.9523809523809523,1.0,0.975609756097561,20
40,densenet121,aug_light,prickly_heat,0.9090909090909091,1.0,0.9523809523809523,20
40,densenet121,noaug,prickly_heat,1.0,1.0,1.0,20
48,densenet121,aug_light,prickly_heat,1.0,0.9,0.9473684210526315,20
